pressure_psi,thickness_mm,E_mpa,z_center_mm,z_max_mm
1.0,0.5,0.6,0.0029937303447740305,0.0029937303447740305
3.0,0.5,0.6,0.008981191034322092,0.008981191034322092
5.0,0.5,0.6,0.014968651723870154,0.014968651723870154
7.0,0.5,0.6,0.02095611241341821,0.02095611241341821
10.0,0.5,0.6,0.02993730344774031,0.02993730344774031
1.0,0.5,381.7,4.705889983917818e-06,4.705889983917818e-06
3.0,0.5,381.7,1.4117669951753457e-05,1.4117669951753457e-05
5.0,0.5,381.7,2.352944991958909e-05,2.352944991958909e-05
7.0,0.5,381.7,3.294122988742472e-05,3.294122988742472e-05
10.0,0.5,381.7,4.705889983917818e-05,4.705889983917818e-05
1.0,1.0,0.6,0.001496865172385768,0.001496865172385768
3.0,1.0,0.6,0.004490595517157304,0.004490595517157304
5.0,1.0,0.6,0.007484325861928842,0.007484325861928842
7.0,1.0,0.6,0.010478056206700375,0.010478056206700375
10.0,1.0,0.6,0.014968651723857683,0.014968651723857683
1.0,1.0,381.7,2.352944991958904e-06,2.352944991958904e-06
3.0,1.0,381.7,7.058834975876713e-06,7.058834975876713e-06
5.0,1.0,381.7,1.1764724959794522e-05,1.1764724959794522e-05
7.0,1.0,381.7,1.647061494371233e-05,1.647061494371233e-05
10.0,1.0,381.7,2.3529449919589044e-05,2.3529449919589044e-05
1.0,2.0,0.6,0.0007484325861925728,0.0007484325861925728
3.0,2.0,0.6,0.0022452977585777187,0.0022452977585777187
5.0,2.0,0.6,0.0037421629309628644,0.0037421629309628644
7.0,2.0,0.6,0.005239028103348007,0.005239028103348007
10.0,2.0,0.6,0.007484325861925729,0.007484325861925729
1.0,2.0,381.7,1.1764724959794517e-06,1.1764724959794517e-06
3.0,2.0,381.7,3.5294174879383554e-06,3.5294174879383554e-06
5.0,2.0,381.7,5.882362479897259e-06,5.882362479897259e-06
7.0,2.0,381.7,8.23530747185616e-06,8.23530747185616e-06
10.0,2.0,381.7,1.1764724959794518e-05,1.1764724959794518e-05
